year,title,review
2016,A small package for the family,"A small car, good enough for a young or older person who appreciates the convenience, low maintenance and comfort riding in it. With ample legroom in the back seat, it's comfortable for passengers with long legs. You'll be surprised by the flexibility of this car. Easy to maneuver and park. in tight spaces. While the other side of the coin is that, because this is a small car, it gets the vibration and waves from other passing vehicles that's on high speed. The car shakes like a boat. On fuel consumption, the car is thrifty when it travels on highways but it gets high in city driving. It doesn't have the quickness in power to go uphill on a heavy load. One would have to wait for it to kick in after a while."
2016,The best first car,"This is my first car and I have been using it for 3 years. It is reliable, great for new driver, safe and nice design."
2016,Best kei car,"Good car to use in the city. Saving fuel consumption. For me, perodua is very good after sales service. Their service centre and also repair centre are doing a good job for me and my car."
2016,Overall worth for the price.,30k+ price you cannot expect too much. But overall is good for city drive and short distance driving. Petrol saving with eco mode. Intrerior design ok but for some people maybe felt a bit plastic but for me is just ok. Performance wise is good enough for normal driving but sometime felt a bit hard when try to pick up to overtaking car.
2016,The fuel saver.,The size of this car is suitable and convenience for an unmarried man or woman. Perodua Axia is totally give me best experience ever in driving and save my money for fuel.
2016,Compact car for compact wallet,"Great car for students,new career and even small family.
Km per litres are doing great with 1.0cc only. Even a small car can go and cucuk behind big player on expressway.
Great manuever in town area.
From outside looks kind of small,but when you going inside it feels like you are mini cooper.
It is great for malaysian car maker to porduce this car which is help for small pocket money salaryman.
Awesome for user to make extra money doing grab.
Overall,it satisfied my desire to travel from one point to another which is what a basically do their job"
2016,Its cheap but does it cheerful? : Perodua Axia,"2016 is a significant year as it was my 20 years old anniversary as well the year when I bought my first ride, a 2016 Perodua Axia G (manual) yes fellas, a 3 paddle manual shifters. A basic car as it is that get people from A to B safely. 

Speed : 
Does optioning for manual makes it quicker? Certainly it doesn’t. Powered by 1 litre 3 cylinder with 66hp and 90Nm of torque it does feel laggy especially in first and second gear. On highway though its a different animal. That thing shift on highway. Even on fifth gear it still be able to overtake easily.

Efficiency:
Being well known for the best fuel saving vehicle, it need no introduction. A full tank of fuel can easily covered 500km. The eco indicator does help in preserving the fuel.

Space: 
Practicality is another plus point of the Axia. Interior space got no complaint. The legroom and headroom is more than enough for an average asian like me. I just wish the rear seat could be folded 60:40 for easier access to carry longer items while having passenger.

Ride & handling :
Perodua does not have a credibility on terms of handling. The Axia is no exception. The body roll is significant. A corner is an enemy for Axia. The usage of Silverstone tyre is a nightmare. It got no grip at all when slippery road and the traction is very poor. If you happen to use one change it immediately. It does put a huge different in driving dynamic.

Conclusion :
If you ever need a simple yet reliable workhorse, Axia is a good buy. Go for automatic transmission and avoid the lowest spec as it lacks ABS feature. Should I recommend you to buy one?.. Why not? Its proven"
2016,Comfortability of Axia,Axia is suitable for petite size adults. And more to students too.
2016,Very good car with additional accessories,An affordable car with a very good quality so far
2016,ezey to use,greet perfomance and super nice
2016,Quite good and good performance,Quite cheap and good performance
2016,Good First Car,Axia. This is a good car for me. As a first car to have. It serves the purpose.
2016,Good performing engine and easy to parking.,"Nice looking, easy to handle and the price competitive... many on the road ."
2017,Good budget car!,Good fuel efficient car in Malaysia. The price is market killer.
2017,Budget car for fresh grad :D,"Suitable for town use, but on highway barely reach 130km/h"
2017,Perfect for city roundabouts. Less so for the open,"The car is suitable and efficient enough for city driving as well as occasional highway commutes. But when it comes to more highways, the car tends to struggle. Other than that, interior and exterior design is commendable. Interior space on the other hand, superb"
2017,Good personal car,The car have been good and start whenever i want it to be. Reliable personal car
2017,Fair is good enough...for the price,"Been using this off and on for around 3 years, good to travel around kampung and city area, but travelling on the highway is quite underwhelming.. Well you get what you paid for"
2017,Anyone can have this car,This car is cheap and save fuel. So anyone can buy it
2017,Stable and perfect,Best fuel saving car and good for students
2017,Money saving car,Less fuel consumption for long drive
2017,Enough for the needs,"Its a good car for point A to point B. Can’t expect more for the price. Performance wise the car always “not sure” which gear it wants to be, sometimes drop to lowest gear sometimes 2nd gear. Its also find a hard time to overtake since the throttle delayed for 1-2s before it decided to drop the gear. But its alright for what it is so not really mind that much."
2017,Most affordable car,Very flexible car for daily/short distance usage. Petrol consumption very low.
2017,Perodua not good,Cheap and not good please don't buy it
2017,Bajet car with basic to move,All is basic that need to move from point A to point B. Performance is fair for 1.0 cc within its class.
2018,Affordable and cost saving car,"A very adfordable car as I only pay Rm300 monthly installment. I am quite satisy with 1000cc engine but with a very fuel-saving car. I able to travel 480 +km with full tank (30Litre capacity tank). The interior design is simple and I'm ok with that. The exterior look elegent with projector lamp and led tail lamp. Overall, im very satisfied my my car now as it help me to save more money."
2018,Affordable and worthy,The car is worth to have for the price.
2018,A good practical car for Point A to Point B,"I don't expect alot from the car. Drive the SE automatic variant recently and it was superb. Feel like luxury car when come to packaging like keyless entry and push start button. For safety, i also don't expect much as they need to maximize it with the price selling. It's a four stars for me. TQ"
2018,Budget ride for city drive,"For the price you pay, Axia is definitely one of the best budget hatchback in Malaysian market. Super zippy especially for city driving, it is the ultimate ride when it comes to traffic driving and parking in restricted spaces. Everything else including the performance, interior and exterior aesthetics are acceptable."
2018,PERFECT LOW-COST VEHILCE,"PERODUA AXIA IS ONE OF THE VEHICLE THAT NO NEED TO DISPUTE REGARDING THE PRICE, SAFETY, PERFORMANCE, EFFICIENCY AND ELSE. IT HAVE TARGETED TO BE THE FIRST-OWN VEHICLE BEFORE TRYING USING OTHER CAR BRAND. IT IS PERFECT FOR EVERYTHING FOR THE LOW-INCOME RANGE OF SOCIETY"
2018,Best Outstanding Performance Inside and Out,I can go travel for long journey without trouble because my car have outstanding performance and also feel proud because interior and exterior design look really classy for me.
2018,Why should you choose it,Because it is very affordable and comfortable
2018,Best car for its budget segment,"Probably one of the more reliable and better value for a car below RM50k. Extremely practical for city driving, not very recommended for long distance and speeding (obviously)."
2018,Really good for fuel save drive,"Fuel save, econimical driving. A great car to be owned."
2018,Stylish Modern Fuel,Look nice design car and most important is save petrol
2018,My wife beloved car,The first car that i bought for my wife after we married! She loves it and it is a great car for her to do all the necessity work she needs everyday
2018,"Practical, economical vehicle","I used to drive a Honda Jazz and i still have it but unfortunately after buying the axia i gave the jazz to my parents cos im loving the axia a lot more. To be honest to me, it offers me what i need and use just like a jazz but at literally half the price!"
2018,Best for Budget Car,"For someone which looking for Budget car, Perodua Axia is the best for you, in term of economic fuel consumption n maintainance"
2018,Kereta Jimat Minyak,Kereta ni paling sesuai untuk mulakan hidup dalam alam pekerjaan
2018,Kenderaan yang jimat minyak.,"Senang parking,sesuai untuk daily use."
2018,Overall the car is worth the price,"The interior design is mainly made out of plastic, When driving at high speed, the noise from outside is kind of loud."
2019,Economic and budget car,Good in fuel consumption and it is a budget car.
2019,Small but good,Overall the car is good. Pick up is a bit slow but overall it is good. The external and internal is good enough.
2019,Best Car with Affordable Price,"In my opinion, Perodua Axia is one of the best car in the world because it is cheap, hence everyone can buy. It also consume less petrol compare with other car hence I think this car must own by everyone."
2019,Car for youngster,Its very simple and most importantly fuel save!
2019,Perodua Axia 2019,Value for money and fuel efficiency
2019,Axia se 2019,Good size car but efficient and more saving for daily usage
2019,Good for town use,"Not a cheap car at rm34k, underpowered and high fc if cruise above 110 in highway.. better buy bezza"
2020,"Sporty, safety & economy",Pemanduan yg menjimatkan serta mudah di uruskan.
2020,"Budget Friendly, Spacious, Cute but Can Do More","This is my first car, so far I am satisfied. I drove Alor Setar-Perlis-Alor Setar-KL in one shot, consuming only RM60++ fuel. Overall, a very good budget car."
2020,save petrol and good,in the city drive still okay but in highway not suggestion
2020,Use for daily,Save fuel and low maintenance
2020,"Marvelous, Compact and Awesome",Safe fuel consumptions and good car of the year
2020,Great as a first car,It is very economical which is great for city use. Air conditioning also works very well and new features such as ABS and TCS are really a blessing. The only downside is its sluggish 4 speed automatic gearbox which feels slow when you try to get up to speed when merging on highways.
2020,Axia Style Experience,"Overall perfomance of thia variant is very satisfying for me. Nothing to complain about the variant. Regarding others complain that this car got no Bluetooth, built in LCD, No turn-Signal on Mirror and no Front Parking sensor. Okay let me tell you guys, what you guys expect on RM38k car ? If they put it all on this variant, then why they still have another S.E n Advance? Thats the marketing strategy man, you cant focus on just one model isnstead you have to think about another model too unless this is the one and only model you put on sale ? i bet if you are the car maker, you'll do the same thing. So mind your word before complaining. Trust me the netizen will and still complaining even the car maker put all the stuff in these variant by another reason like the price are too expensive etc. If you not satisfy with the specs, then go for high specs. So STOP. COMPLAINING"
2020,Best looking Axia ever,Definitely the best looking axia ever made. The Axia 1.0 Style body kit is much more striking with its new orange colour.
2020,Excellent choice of an economical car,"Reliable, high quality and low maintenance. I have 3 of them bought for my childrens. None of them has broken down before!"
